"id","season","week","seasonType","startTime","gameIndoors","homeTeam","homeConference","awayTeam","awayConference","venueId","venue","temperature","dewPoint","humidity","precipitation","snowfall","windDirection","windSpeed","pressure","weatherConditionCode","weatherCondition"
401635556,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"North Carolina","ACC","James Madison","Sun Belt",3787,"Kenan Stadium",82.9,66.2,57,0,0,207,7,1015.7,2,"Fair"
401629042,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Massachusetts","FBS Independents","Central Connecticut","NEC",3985,"Warren McGuirk Alumni Stadium",64.8,53.2,66,0,0,40,13.7,1015,3,"Cloudy"
401640991,2024,4,"regular","2024-09-21T22:00:00.000Z",FALSE,"Liberty","Conference USA","East Carolina","American Athletic",3992,"Williams Stadium (VA)",81.1,71.2,72,0.366,0,190,10.3,1014,9,"Heavy Rain"
401628370,2024,4,"regular","2024-09-21T23:30:00.000Z",FALSE,"South Carolina","SEC","Akron","Mid-American",3994,"Williams-Brice Stadium",80.1,68.9,69,0,0,0,0,1013.2,1,"Clear"
401641028,2024,4,"regular","2024-09-21T21:00:00.000Z",FALSE,"Colorado State","Mountain West","UTEP","Conference USA",5388,"Canvas Stadium",69.1,33.6,27,0,0,100,11.4,1015,3,"Cloudy"
401636876,2024,4,"regular","2024-09-21T20:00:00.000Z",FALSE,"Oklahoma State","Big 12","Utah","Big 12",3646,"Boone Pickens Stadium",101.3,61.7,28,0,0,160,11.4,1007.8,3,"Cloudy"
401641034,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"Sam Houston","Conference USA","New Mexico State","Conference USA",3647,"Elliott T. Bowers Stadium",87.8,69.6,55,0,0,100,7,1010.2,3,"Cloudy"
401635558,2024,4,"regular","2024-09-21T18:00:00.000Z",FALSE,"Coastal Carolina","Sun Belt","Virginia","ACC",3654,"Brooks Stadium (SC)",82.4,60.8,48,0,0,30,7,1015,1,"Clear"
401641000,2024,4,"regular","2024-09-21T19:00:00.000Z",FALSE,"Jacksonville State","Conference USA","Southern Miss","Sun Belt",3662,"AmFirst Stadium",92.8,64.2,39,0,0,0,0,1013,3,"Cloudy"
401636877,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Texas Tech","Big 12","Arizona State","Big 12",3784,"Jones AT&T Stadium",89.2,65.1,45,0,0,180,20.8,1006.4,3,"Cloudy"
401628486,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Indiana","Big Ten","Charlotte","American Athletic",3830,"Memorial Stadium (Bloomington, IN)",85.3,70.3,61,0,0,156,3.4,1013.4,3,"Cloudy"
401628487,2024,4,"regular","2024-09-21T23:30:00.000Z",FALSE,"Minnesota","Big Ten","Iowa","Big Ten",3953,"Huntington Bank Stadium",74.1,57.9,57,0,0,310,14.9,1009.5,2,"Fair"
401628365,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"LSU","SEC","UCLA","Big Ten",3958,"Tiger Stadium (LA)",93.4,67.6,43,0,0,130,6.8,1012,2,"Fair"
