"season","team","conference","statName","statValue"
2024,"App State","Sun Belt","penaltiesOpponent",77
2024,"App State","Sun Belt","penaltyYards",627
2024,"App State","Sun Belt","penaltyYardsOpponent",702
2024,"App State","Sun Belt","possessionTime",19872
2024,"App State","Sun Belt","possessionTimeOpponent",19663
2024,"App State","Sun Belt","puntReturns",6
2024,"App State","Sun Belt","puntReturnsOpponent",20
2024,"App State","Sun Belt","puntReturnTDs",1
2024,"App State","Sun Belt","puntReturnTDsOpponent",0
2024,"App State","Sun Belt","puntReturnYards",99
2024,"App State","Sun Belt","puntReturnYardsOpponent",170
2024,"App State","Sun Belt","rushingAttempts",384
2024,"App State","Sun Belt","rushingAttemptsOpponent",410
2024,"App State","Sun Belt","rushingTDs",13
2024,"App State","Sun Belt","rushingTDsOpponent",24
2024,"App State","Sun Belt","rushingYards",1731
2024,"App State","Sun Belt","rushingYardsOpponent",2179
2024,"App State","Sun Belt","sacks",23
2024,"App State","Sun Belt","sacksOpponent",14
2024,"App State","Sun Belt","tacklesForLoss",47
2024,"App State","Sun Belt","tacklesForLossOpponent",45
2024,"App State","Sun Belt","thirdDownConversions",62
2024,"App State","Sun Belt","thirdDownConversionsOpponent",57
2024,"App State","Sun Belt","thirdDowns",145
2024,"App State","Sun Belt","thirdDownsOpponent",127
2024,"App State","Sun Belt","totalYards",4733
2024,"App State","Sun Belt","totalYardsOpponent",4540
2024,"App State","Sun Belt","turnovers",22
2024,"App State","Sun Belt","turnoversOpponent",13
2024,"Arizona","Big 12","firstDowns",222
2024,"Arizona","Big 12","firstDownsOpponent",250
2024,"Arizona","Big 12","fourthDownConversions",8
2024,"Arizona","Big 12","fourthDownConversionsOpponent",14
2024,"Arizona","Big 12","fourthDowns",19
2024,"Arizona","Big 12","fourthDownsOpponent",28
2024,"Arizona","Big 12","fumblesLost",7
2024,"Arizona","Big 12","fumblesLostOpponent",7
2024,"Arizona","Big 12","fumblesRecovered",8
2024,"Arizona","Big 12","fumblesRecoveredOpponent",7
2024,"Arizona","Big 12","games",12
2024,"Arizona","Big 12","interceptions",13
2024,"Arizona","Big 12","interceptionsOpponent",8
2024,"Arizona","Big 12","interceptionTDs",0
2024,"Arizona","Big 12","interceptionTDsOpponent",1
2024,"Arizona","Big 12","interceptionYards",17
2024,"Arizona","Big 12","interceptionYardsOpponent",130
2024,"Arizona","Big 12","kickReturns",32
2024,"Arizona","Big 12","kickReturnsOpponent",2
2024,"Arizona","Big 12","kickReturnTDs",0
2024,"Arizona","Big 12","kickReturnTDsOpponent",0
2024,"Arizona","Big 12","kickReturnYards",712
2024,"Arizona","Big 12","kickReturnYardsOpponent",25
2024,"Arizona","Big 12","netPassingYards",2975
2024,"Arizona","Big 12","netPassingYardsOpponent",2868
2024,"Arizona","Big 12","passAttempts",437
2024,"Arizona","Big 12","passAttemptsOpponent",355
2024,"Arizona","Big 12","passCompletions",262
2024,"Arizona","Big 12","passCompletionsOpponent",226
2024,"Arizona","Big 12","passesIntercepted",6
2024,"Arizona","Big 12","passesInterceptedOpponent",13
2024,"Arizona","Big 12","passingTDs",18
2024,"Arizona","Big 12","passingTDsOpponent",22
2024,"Arizona","Big 12","penalties",78
2024,"Arizona","Big 12","penaltiesOpponent",60
2024,"Arizona","Big 12","penaltyYards",691
2024,"Arizona","Big 12","penaltyYardsOpponent",534
2024,"Arizona","Big 12","possessionTime",21421
2024,"Arizona","Big 12","possessionTimeOpponent",21779
2024,"Arizona","Big 12","puntReturns",17
2024,"Arizona","Big 12","puntReturnsOpponent",16
2024,"Arizona","Big 12","puntReturnTDs",0
2024,"Arizona","Big 12","puntReturnTDsOpponent",1
2024,"Arizona","Big 12","puntReturnYards",95
2024,"Arizona","Big 12","puntReturnYardsOpponent",186
2024,"Arizona","Big 12","rushingAttempts",329
2024,"Arizona","Big 12","rushingAttemptsOpponent",417
2024,"Arizona","Big 12","rushingTDs",11
2024,"Arizona","Big 12","rushingTDsOpponent",25
2024,"Arizona","Big 12","rushingYards",1280
2024,"Arizona","Big 12","rushingYardsOpponent",2123
2024,"Arizona","Big 12","sacks",20
2024,"Arizona","Big 12","sacksOpponent",36
2024,"Arizona","Big 12","tacklesForLoss",57
2024,"Arizona","Big 12","tacklesForLossOpponent",63
2024,"Arizona","Big 12","thirdDownConversions",73
2024,"Arizona","Big 12","thirdDownConversionsOpponent",62
2024,"Arizona","Big 12","thirdDowns",170
2024,"Arizona","Big 12","thirdDownsOpponent",152
2024,"Arizona","Big 12","totalYards",4255
2024,"Arizona","Big 12","totalYardsOpponent",4991
2024,"Arizona","Big 12","turnovers",20
2024,"Arizona","Big 12","turnoversOpponent",15
2024,"Arizona State","Big 12","firstDowns",315
2024,"Arizona State","Big 12","firstDownsOpponent",283
2024,"Arizona State","Big 12","fourthDownConversions",19
2024,"Arizona State","Big 12","fourthDownConversionsOpponent",13
2024,"Arizona State","Big 12","fourthDowns",36
2024,"Arizona State","Big 12","fourthDownsOpponent",24
2024,"Arizona State","Big 12","fumblesLost",3
2024,"Arizona State","Big 12","fumblesLostOpponent",7
2024,"Arizona State","Big 12","fumblesRecovered",5
2024,"Arizona State","Big 12","fumblesRecoveredOpponent",3
2024,"Arizona State","Big 12","games",14
2024,"Arizona State","Big 12","interceptions",6
2024,"Arizona State","Big 12","interceptionsOpponent",16
2024,"Arizona State","Big 12","interceptionTDs",2
2024,"Arizona State","Big 12","interceptionTDsOpponent",0
2024,"Arizona State","Big 12","interceptionYards",155
2024,"Arizona State","Big 12","interceptionYardsOpponent",4
2024,"Arizona State","Big 12","kickReturns",11
2024,"Arizona State","Big 12","kickReturnsOpponent",27
2024,"Arizona State","Big 12","kickReturnTDs",0
2024,"Arizona State","Big 12","kickReturnTDsOpponent",0
2024,"Arizona State","Big 12","kickReturnYards",181
2024,"Arizona State","Big 12","kickReturnYardsOpponent",481
2024,"Arizona State","Big 12","netPassingYards",3213
2024,"Arizona State","Big 12","netPassingYardsOpponent",3122
2024,"Arizona State","Big 12","passAttempts",382
2024,"Arizona State","Big 12","passAttemptsOpponent",478
2024,"Arizona State","Big 12","passCompletions",234
2024,"Arizona State","Big 12","passCompletionsOpponent",281
2024,"Arizona State","Big 12","passesIntercepted",16
2024,"Arizona State","Big 12","passesInterceptedOpponent",6
2024,"Arizona State","Big 12","passingTDs",26
2024,"Arizona State","Big 12","passingTDsOpponent",19
2024,"Arizona State","Big 12","penalties",90
2024,"Arizona State","Big 12","penaltiesOpponent",76
2024,"Arizona State","Big 12","penaltyYards",751
2024,"Arizona State","Big 12","penaltyYardsOpponent",678
2024,"Arizona State","Big 12","possessionTime",27402
2024,"Arizona State","Big 12","possessionTimeOpponent",22998
2024,"Arizona State","Big 12","puntReturns",10
2024,"Arizona State","Big 12","puntReturnsOpponent",6
2024,"Arizona State","Big 12","puntReturnTDs",1
2024,"Arizona State","Big 12","puntReturnTDsOpponent",1
2024,"Arizona State","Big 12","puntReturnYards",149
2024,"Arizona State","Big 12","puntReturnYardsOpponent",135
2024,"Arizona State","Big 12","rushingAttempts",582
2024,"Arizona State","Big 12","rushingAttemptsOpponent",424
2024,"Arizona State","Big 12","rushingTDs",30
2024,"Arizona State","Big 12","rushingTDsOpponent",19
2024,"Arizona State","Big 12","rushingYards",2832
2024,"Arizona State","Big 12","rushingYardsOpponent",1604
2024,"Arizona State","Big 12","sacks",21
2024,"Arizona State","Big 12","sacksOpponent",21
2024,"Arizona State","Big 12","tacklesForLoss",65
2024,"Arizona State","Big 12","tacklesForLossOpponent",63
2024,"Arizona State","Big 12","thirdDownConversions",90
2024,"Arizona State","Big 12","thirdDownConversionsOpponent",80
2024,"Arizona State","Big 12","thirdDowns",196
2024,"Arizona State","Big 12","thirdDownsOpponent",189
2024,"Arizona State","Big 12","totalYards",6045
2024,"Arizona State","Big 12","totalYardsOpponent",4726
2024,"Arizona State","Big 12","turnovers",9
2024,"Arizona State","Big 12","turnoversOpponent",23
2024,"Arkansas","SEC","firstDowns",314
2024,"Arkansas","SEC","firstDownsOpponent",260
2024,"Arkansas","SEC","fourthDownConversions",14
2024,"Arkansas","SEC","fourthDownConversionsOpponent",16
2024,"Arkansas","SEC","fourthDowns",23
2024,"Arkansas","SEC","fourthDownsOpponent",31
2024,"Arkansas","SEC","fumblesLost",14
2024,"Arkansas","SEC","fumblesLostOpponent",5
2024,"Arkansas","SEC","fumblesRecovered",5
2024,"Arkansas","SEC","fumblesRecoveredOpponent",13
2024,"Arkansas","SEC","games",13
2024,"Arkansas","SEC","interceptions",9
2024,"Arkansas","SEC","interceptionsOpponent",10
2024,"Arkansas","SEC","interceptionTDs",0
2024,"Arkansas","SEC","interceptionTDsOpponent",1
2024,"Arkansas","SEC","interceptionYards",135
2024,"Arkansas","SEC","interceptionYardsOpponent",195
2024,"Arkansas","SEC","kickReturns",16
2024,"Arkansas","SEC","kickReturnsOpponent",20
2024,"Arkansas","SEC","kickReturnTDs",0
2024,"Arkansas","SEC","kickReturnTDsOpponent",0
2024,"Arkansas","SEC","kickReturnYards",235
2024,"Arkansas","SEC","kickReturnYardsOpponent",445
2024,"Arkansas","SEC","netPassingYards",3570
2024,"Arkansas","SEC","netPassingYardsOpponent",3210
2024,"Arkansas","SEC","passAttempts",414
2024,"Arkansas","SEC","passAttemptsOpponent",418
2024,"Arkansas","SEC","passCompletions",255
2024,"Arkansas","SEC","passCompletionsOpponent",259
2024,"Arkansas","SEC","passesIntercepted",10
