game_id,season,week,season_type,start_time,game_indoors,home_team,home_conference,away_team,away_conference,venue_id,venue,temperature,dew_point,humidity,precipitation,snowfall,wind_direction,wind_speed,pressure,weather_condition_code,weather_condition
401634125,2024,12,regular,2024-11-17T01:00:00.000Z,FALSE,UC Davis,Big Sky,Montana State,Big Sky,3602,Aggie Stadium,50.2,25,37,0,0,0,0,1018,3,Cloudy
401628695,2024,13,regular,2024-11-23T17:00:00.000Z,FALSE,Richmond,CAA,William & Mary,CAA,2068,E. Claiborne Robins Stadium,57.2,32.5,39,0,0,300,19.9,1010,3,Cloudy
401634039,2024,13,regular,2024-11-22T00:00:00.000Z,FALSE,Nicholls,Southland,SE Louisiana,Southland,3779,Manning Field at John L. Guidry Stadium,57.2,33.6,41,0,0,280,3.4,1020.4,1,Clear
401634036,2024,12,regular,2024-11-16T19:00:00.000Z,FALSE,Northwestern State,Southland,McNeese,Southland,3963,Harry Turpin Stadium,75.2,55.2,50,0,0,136,5.8,1016,1,Clear
401644769,2024,13,regular,2024-11-20T00:00:00.000Z,FALSE,Kent State,Mid-American,Akron,Mid-American,3696,Dix Stadium,56.8,54.5,92,0,0,0,0,1008,3,Cloudy
401629046,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Massachusetts,FBS Independents,Liberty,Conference USA,3985,Warren McGuirk Alumni Stadium,60.8,15.8,17,0,0,320,19.9,1007.5,1,Clear
401676042,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Concordia University Chicago,NACC,Benedictine University,NACC,5826,Concordia Stadium,53.4,41.2,63,0,0,170,10.3,1018.7,4,Overcast
401675005,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Cornell College (IA),Midwest,Grinnell,Midwest,5828,Van Metre Field at Ash Park,49.5,46.4,89,0,0,150,17.4,1014,5,Fog
401674710,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Curry College,Commonwealth Coast,Endicott College,Commonwealth Coast,5830,Walter M. Katz Field,63,31.1,30,0,0,320,11.4,1006,1,Clear
401628423,2024,12,regular,2024-11-16T21:15:00.000Z,FALSE,South Carolina,SEC,Missouri,SEC,3994,Williams-Brice Stadium,66,49.8,56,0,0,0,0,1017.9,1,Clear
401734017,2024,12,regular,2024-11-16T21:00:00.000Z,FALSE,California Lutheran University,So. Cal.,La Verne,So. Cal.,5811,William Rolland Stadium,64.2,37.4,37,0,0,270,13.9,1014.2,1,Clear
401644770,2024,13,regular,2024-11-20T00:30:00.000Z,FALSE,Central Michigan,Mid-American,Western Michigan,Mid-American,3786,Kelly/Shorts Stadium,53.8,47.8,80,0,0,220,7,1005,3,Cloudy
401734016,2024,12,regular,2024-11-16T22:30:00.000Z,FALSE,Pomona Pitzer,So. Cal.,Chapman,So. Cal.,6103,Merritt Field,66.2,33.4,29,0,0,250,8.1,1013,1,Clear
401676669,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,St John Fisher University,Empire 8,Utica,Empire 8,6120,Growney Stadium,54,32.7,44,0,0,330,12.7,1019,1,Clear
401676073,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,St. Norbert,NACC,Eureka College,NACC,6121,Donald J. Schneider Stadium,53.4,44.4,71,0,0,150,13.9,1018.3,3,Cloudy
401734014,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,St. Scholastica,Minnesota,Macalester,Minnesota,6122,Public Schools Stadium,52.2,41.2,66,0,0,120,5.8,1009,3,Cloudy
401674668,2024,12,regular,2024-11-16T19:00:00.000Z,FALSE,Texas Lutheran,Southern Collegiate Athletic,Southwestern University,Southern Athletic,6125,Bulldog Stadium (TX),84.2,58.1,41,0,0,180,11.8,1009,3,Cloudy
401675284,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Wooster,North Coast,Wittenberg,North Coast,6127,John P. Papp Stadium,52.9,43.9,71,0,0,330,4.7,1022.2,3,Cloudy
401674885,2024,12,regular,2024-11-16T19:00:00.000Z,FALSE,Western Connecticut St,MSCAC,Castleton,MSCAC,6142,Westside Athletic Complex,64.2,22.6,20,0,0,340,10.6,1011,1,Clear
401674894,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Westfield State,MSCAC,Fitchburg State,MSCAC,6144,"Alumni Field (Westfield, MA)",61,20.8,21,0,0,300,11.4,1008.6,1,Clear
401676126,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Westminster College (MO),Upper Midwest,Northwestern (MN),Upper Midwest,6145,Blue Jay Stadium,58.1,46.2,64,0,0,140,13.9,1015.6,2,Fair
401628557,2024,13,regular,2024-11-23T20:30:00.000Z,FALSE,Michigan,Big Ten,Northwestern,Big Ten,3558,Michigan Stadium,44.1,34.2,68,0,0,270,10.3,1014.2,3,Cloudy
401644690,2024,13,regular,2024-11-20T01:00:00.000Z,FALSE,Miami (OH),Mid-American,Northern Illinois,Mid-American,3996,Yager Stadium,61.7,55.6,80,0,0,270,3.4,1008,1,Clear
401645374,2024,13,regular,2024-11-23T00:00:00.000Z,TRUE,UTSA,American Athletic,Temple,American Athletic,3604,Alamodome,60.4,39.6,46,0,0,111,3.4,1019,1,Clear
401634123,2024,12,regular,2024-11-17T01:00:00.000Z,TRUE,Idaho,Big Sky,Weber State,Big Sky,3791,Kibbie Dome,33.8,28,79,0,0,0,0,1015.3,3,Cloudy
401628424,2024,12,regular,2024-11-17T00:45:00.000Z,FALSE,Texas A&M,SEC,New Mexico State,Conference USA,3795,Kyle Field,71.8,61.9,71,0,0,110,8.1,1011.2,3,Cloudy
401636924,2024,12,regular,2024-11-17T03:15:00.000Z,FALSE,BYU,Big 12,Kansas,Big 12,3801,LaVell Edwards Stadium,35.1,27.9,75,0,0,330,3.7,1017,3,Cloudy
401645367,2024,12,regular,2024-11-17T01:00:00.000Z,FALSE,Memphis,American Athletic,UAB,American Athletic,3805,Simmons Bank Liberty Stadium,54.1,47.8,80,0,0,0,0,1016.1,2,Fair
401628985,2024,12,regular,2024-11-16T20:30:00.000Z,FALSE,Notre Dame,FBS Independents,Virginia,ACC,3855,Notre Dame Stadium,51.3,39,63,0,0,150,15,1019.3,3,Cloudy
